Education,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,nb_enf,situation_couple
Graduation,58138.0,635,88,546,172,88,88,1.0,2.0,2.0,1.0,1.0,0,65,0,celib
Graduation,46344.0,11,1,6,2,1,6,0.0,0.0,0.0,0.0,1.0,0,68,2,celib
Graduation,71613.0,426,49,127,111,21,42,0.0,2.0,0.0,2.0,1.0,0,57,0,couple
Graduation,26646.0,11,4,20,10,3,5,0.0,0.0,0.0,1.0,1.0,0,38,1,couple
PhD,58293.0,173,43,118,46,27,15,1.0,1.0,1.0,1.0,1.0,0,41,1,couple
Master,62513.0,520,42,98,0,42,14,0.0,1.0,1.0,2.0,1.0,0,55,1,couple
Graduation,55635.0,235,65,164,50,49,27,1.0,1.0,1.0,1.0,1.0,0,51,1,celib
PhD,33454.0,76,10,56,3,1,23,0.0,1.0,0.0,1.0,2.0,0,37,1,couple
PhD,30351.0,14,0,24,3,3,2,0.0,1.0,0.0,0.0,2.0,0,48,1,couple
Graduation,51412.0,5,5,6,0,2,1,0.0,0.0,0.0,0.0,2.0,0,39,1,couple
Graduation,63033.0,194,61,480,225,112,30,0.0,1.0,1.0,2.0,0.0,0,63,0,celib
Master,59354.0,233,2,53,3,5,14,1.0,1.0,0.0,1.0,1.0,0,70,2,celib
Graduation,17323.0,3,14,17,6,1,5,0.0,0.0,0.0,1.0,2.0,0,35,0,couple
PhD,82800.0,1006,22,115,59,68,45,0.0,1.0,1.0,3.0,1.0,0,76,0,celib
Graduation,41850.0,53,5,19,2,13,4,1.0,1.0,0.0,1.0,2.0,0,42,2,couple
Graduation,37760.0,84,5,38,150,12,28,0.0,1.0,0.0,1.0,1.0,0,76,0,couple
Master,76995.0,1012,80,498,0,16,176,0.0,2.0,1.0,2.0,1.0,0,73,1,couple
2n Cycle,33812.0,4,17,19,30,24,39,0.0,0.0,0.0,1.0,1.0,0,37,1,celib
Graduation,37040.0,86,2,73,69,38,48,0.0,1.0,0.0,1.0,2.0,0,40,0,couple
PhD,58607.0,867,0,86,0,0,19,1.0,0.0,1.0,2.0,2.0,0,73,1,couple
PhD,65324.0,384,0,102,21,32,5,1.0,1.0,0.0,2.0,1.0,0,68,1,couple
Graduation,40689.0,270,3,27,39,6,99,2.0,2.0,0.0,1.0,2.0,0,71,1,couple
Graduation,18589.0,6,4,25,15,12,13,0.0,0.0,0.0,1.0,1.0,0,53,0,celib
Graduation,53359.0,173,4,30,3,6,41,1.0,1.0,0.0,1.0,2.0,0,46,2,couple
Graduation,51412.0,5,1,3,3,263,362,0.0,6.0,0.0,0.0,0.0,0,36,1,celib
Graduation,38360.0,36,2,42,20,21,10,0.0,0.0,0.0,1.0,1.0,0,33,1,couple
PhD,84618.0,684,100,801,21,66,0,0.0,1.0,2.0,2.0,0.0,0,57,0,couple
Master,10979.0,8,4,10,2,2,4,0.0,1.0,0.0,1.0,1.0,0,33,0,celib
Master,38620.0,112,17,44,34,22,89,0.0,0.0,1.0,1.0,1.0,0,59,0,couple
Graduation,40548.0,110,0,5,2,0,3,0.0,0.0,0.0,1.0,1.0,0,52,1,couple
PhD,46610.0,96,12,96,33,22,43,1.0,1.0,0.0,1.0,1.0,0,70,2,celib
Master,68657.0,482,34,471,119,68,22,0.0,1.0,1.0,2.0,2.0,0,76,0,couple
Master,49389.0,40,0,19,2,1,3,0.0,0.0,0.0,1.0,2.0,0,71,2,celib
PhD,67353.0,702,17,151,0,8,35,1.0,1.0,1.0,3.0,0.0,0,52,1,couple
2n Cycle,23718.0,6,3,14,15,7,36,1.0,1.0,0.0,0.0,2.0,0,46,1,couple
Graduation,42429.0,55,0,6,2,0,4,0.0,0.0,0.0,1.0,1.0,0,49,1,celib
PhD,48948.0,437,8,206,160,49,42,0.0,1.0,2.0,1.0,1.0,0,79,0,celib
Graduation,80011.0,421,76,536,82,178,102,0.0,2.0,1.0,1.0,1.0,0,42,1,couple
Master,20559.0,13,1,29,3,0,7,0.0,0.0,0.0,1.0,2.0,0,37,1,couple
Graduation,21994.0,9,0,6,3,1,3,0.0,0.0,0.0,1.0,1.0,0,65,1,couple
PhD,51412.0,81,11,50,3,2,39,0.0,0.0,1.0,1.0,0.0,0,63,0,celib
Graduation,79941.0,123,164,266,227,30,174,0.0,0.0,1.0,2.0,0.0,0,46,0,celib
Graduation,41728.0,13,6,15,3,5,13,0.0,0.0,0.0,0.0,2.0,0,54,1,couple
Graduation,51412.0,48,5,48,6,10,7,1.0,0.0,0.0,1.0,1.0,0,71,3,celib
PhD,72550.0,826,50,317,50,38,38,2.0,1.0,0.0,3.0,2.0,0,68,2,couple
Graduation,65486.0,245,19,125,37,67,14,0.0,1.0,0.0,2.0,0.0,0,65,1,celib
Master,79143.0,650,37,780,27,167,32,0.0,1.0,2.0,3.0,1.0,0,58,0,couple
